mortgage
9.204
9.0825
9.035
9.8325
10.596
10.5375
10.278
10.33
10.8875
11.26
10.65
10.64
10.3825
9.8925
9.93
10.202
10.455
10.46
10.432
10.5975
10.48
10.3025
10.265
10.612
10.73
10.645
11.032
11.05
10.7725
10.196
9.8825
9.985
10.126
9.9475
9.7675
9.744
9.895
10.1975
10.268
10.37
10.4775
10.164
10.035
10.1
10.175
10.1775
10.014
9.6725
9.6375
9.365
9.5
9.4925
9.472
9.615
9.575
9.244
9.0075
8.855
8.712
8.4975
8.432
8.7625
8.935
8.8525
8.672
8.51
8.128
7.975
7.9225
8.088
8.305
8.206
7.9925
7.6825
7.495
7.472
7.465
7.4175
7.206
7.1125
6.915
6.834
7.155
7.172
7.06
7.1525
7.675
8.316
8.5975
8.3975
8.614
8.5125
8.64
8.925
9.17
9.198
9.1475
8.8275
8.462
8.32
7.955
7.566
7.6075
7.86
7.636
7.475
7.3775
7.2
7.03
7.075
7.624
7.925
8.07
8.32
8.245
8.002
8.23
7.915
7.618
7.5975
7.824
7.65
7.8975
8.1425
7.944
7.69
7.4975
7.48
7.43
7.294
7.205
7.095
6.994
7.0425
7.1275
7.14
7.144
6.9975
6.952
6.9225
6.7225
6.71
6.865
6.738
6.785
6.8075
7.04
6.916
7.145
7.55
7.632
7.9425
7.8225
7.852
7.7375
7.912
8.21
8.325
8.24
8.1525
8.515
8.288
8.1475
8.0275
7.912
7.795
7.745
7.382
7.0325
7.05
6.952
7.0775
7.145
7.16
7.1275
6.95
6.8175
6.6175
6.658
7.065
6.9975
6.8925
7.014
6.985
6.806
6.65
6.485
6.29
6.0925
6.1125
6.068
6.0475
5.916
5.8425
5.745
5.8125
5.484
5.23
5.6325
6.264
6.1475
5.952
5.9325
5.876
5.7125
5.635
5.445
5.83
6.27
6.2875
6.056
5.8675
5.754
5.7225
5.73
5.752
5.71
5.6275
5.928
5.855
5.72
5.582
5.695
5.82
5.774
6.065
6.33
6.272
6.145
6.2525
6.324
6.5075
6.5975
6.682
6.7625
6.524
6.4025
6.3575
6.24
6.135
6.2175
6.285
6.156
6.18
6.262
6.6575
6.695
6.572
6.3825
6.375
6.208
6.095
5.758
5.9175
5.97
5.9175
6.036
6.32
6.426
6.4775
6.0375
6.2
6.0875
5.286
5.0475
5.13
5.0025
4.81
4.8575
5.42
5.222
5.1925
5.0575
4.952
4.875
4.93
5.03
4.99
4.9675
5.098
4.8875
4.7375
4.564
4.4275
4.346
4.225
4.3
4.714
4.755
4.9525
4.836
4.84
4.6375
4.51
4.545
4.27
4.106
4.0675
3.9925
3.958
3.915
3.89
3.954
3.91
3.798
3.675
3.55
3.602
3.4975
3.3825
3.352
3.345
3.414
3.5325
3.565
3.445
3.536
4.07
4.37
4.456
4.49
4.192
4.255
4.4575
4.432
4.3025
4.3425
4.3375
4.192
4.1625
4.13
4.115
4.1625
4.036
3.9975
3.864
3.67
3.71
3.77
3.672
3.84
3.9825
4.046
3.905
3.89
3.796
3.9425
3.964
3.8725
3.66
3.694
3.605
3.6
3.568
3.44
3.435
3.46
3.47
3.77
4.198
4.15
4.1675
4.196
4.045
4.01
3.904
3.9675
3.88
3.805
3.895
3.922
3.95
4.0325
4.33
4.444
4.4675
4.586
4.57
4.5275
4.55
4.6275
4.83
4.866
4.6375
4.464
4.37
4.265
4.1425
4.072
3.8025
3.765
3.616
3.605
3.688
3.695
3.72
3.624
3.465
3.45
3.306
3.2325
3.1625
3.016
2.935
2.89
2.834
2.765
2.684
2.735
2.81
3.0825
3.06
2.9625
2.975
2.868
2.8425
2.9
3.0675
3.0675
3.098
